1.00,	-1.00,	1.00,	1.00,	1.00,	1.00,	-1.00,	1.00,	1.00	0.1	0.2	0.3	1.0	0.0	1.0	1.0	0.0	1.0 
-1.00,	1.00,	1.00,	-1.00,	-1.00,	1.00,	1.00,	-1.00,	1.00	0.1	0.2	0.3	0.0	1.0	0.0	0.0	1.0	0.0
1.00	-1.00	-1.00	1.00	-1.00	1.00	-1.00	-1.00	1.00	0.2	0.7	0.9	1.0	1.0	0.0	1.0	0.0	0.0 
-1.00	-1.00	1.00	-1.00	-1.00	-1.00	1.00	-1.00	-1.00	0.2	0.7	0.9	0.0	0.0	1.0	0.0	1.0	1.0 
1.00	1.00	-1.00	1.00	1.00	1.00	1.00	-1.00	1.00	0.1	0.2	0.3	1.0	1.0	0.0	1.0	0.0	0.0 
1.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	1.00	-1.00	0.1	0.2	0.3	0.0	0.0	1.0	0.0	1.0	1.0 
-1.00	1.00	-1.00	-1.00	1.00	1.00	1.00	1.00	1.00	0.1	0.2	0.3	1.0	1.0	0.0	1.0	0.0	0.0 
1.00	1.00	1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	0.1	0.2	0.3	0.0	0.0	1.0	0.0	1.0	1.0 
-1.00	-1.00	-1.00	-1.00	-1.00	1.00	-1.00	1.00	1.00	0.1	0.2	0.3	1.0	1.0	0.0	1.0	0.0	0.0 
-1.00	1.00	1.00	-1.00	1.00	-1.00	-1.00	-1.00	-1.00	0.1	0.2	0.3	0.0	0.0	1.0	0.0	1.0	1.0 
1.00	-1.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	0.1	0.2	0.3	1.0	1.0	0.0	1.0	0.0	0.0 
-1.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00	-1.00	-1.00	0.1	0.2	0.3	0.0	0.0	1.0	0.0	1.0	1.0 
